Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","172.31.25.29","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.4.7 (Ubuntu)","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10267","","","None","172.31.25.29","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2
SSH supported authentication : publickey,password
","","","","","","None","","IAVT:0001-T-0933","","1999/10/12","2020/09/22","","",""
"10287","","","None","172.31.25.29","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 172.31.31.11 to 172.31.25.29 : 
172.31.31.11
172.31.25.29

Hop Count: 1
","","","","","","None","","","","1999/11/27","2023/12/04","","",""
"10704","CVE-2001-0731","5.0","Medium","172.31.25.29","tcp","80","Apache Multiviews Arbitrary Directory Listing","The remote web server is affected by an information disclosure
vulnerability.","The Apache web server running on the remote host is affected by an
information disclosure vulnerability. An unauthenticated, remote
attacker can exploit this, by sending a crafted request, to display a
listing of a remote directory, even if a valid index file exists in
the directory.

For Apache web server later than 1.3.22, review listing directory
configuration to avoid disclosing sensitive information","Upgrade to Apache version 1.3.22 or later. Alternatively, as a
workaround, disable Multiviews.","http://www.nessus.org/u?f39e976b
http://www.nessus.org/u?a96611bc
http://www.nessus.org/u?c1c382bc","
Nessus was able to exploit the issue using the following request :

http://ip-172-31-25-29.us-east-2.compute.internal/?M=A


This produced the following truncated output (limited to 10 lines) :
------------------------------ snip ------------------------------
<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 3.2 Final//EN"">
<html>
<head>
<title>Index of /</title>
</head>
<body>
<h1>Index of /</h1>
<table>
<tr><th valign=""top""><img src=""/icons/blank.gif"" alt=""[ICO]""></th><th><a href=""?C=N;O=D"">Name</a></th><th><a href=""?C=M;O=A"">Last modified</a></th><th><a href=""?C=S;O=A"">Size</a></th><th><a href=""?C=D;O=A"">Description</a></th></tr>
<tr><th colspan=""5""><hr></th></tr>
[...]

------------------------------ snip ------------------------------
","","5.3","3.9","4.8","2.2","Medium","3009","OWASP:OWASP-CM-004;EDB-ID:21002","","2016/02/16","2020/10/21","","",""
"10881","","","None","172.31.25.29","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
","","","","","","None","","","","2002/03/06","2021/01/19","","",""
"11219","","","None","172.31.25.29","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open","","","","","","None","","","","2009/02/04","2023/09/25","","",""
"11219","","","None","172.31.25.29","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open","","","","","","None","","","","2009/02/04","2023/09/25","","",""
"11936","","","None","172.31.25.29","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 3.13 on Ubuntu 14.04 (trusty)
Confidence level : 95
Method : HTTP

 
The remote host is running Linux Kernel 3.13 on Ubuntu 14.04 (trusty)","","","","","","None","","","","2003/12/09","2023/11/08","","",""
"12053","","","None","172.31.25.29","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.","n/a","","
172.31.25.29 resolves as ip-172-31-25-29.us-east-2.compute.internal.
","","","","","","None","","","","2004/02/11","2017/04/14","","",""
"18261","","","None","172.31.25.29","tcp","0","Apache Banner Linux Distribution Disclosure","The name of the Linux distribution running on the remote host was
found in the banner of the web server.","Nessus was able to extract the banner of the Apache web server and
determine which Linux distribution the remote host is running.","If you do not wish to display this information, edit 'httpd.conf' and
set the directive 'ServerTokens Prod' and restart Apache.","","
The Linux distribution detected was : 
 - Ubuntu 14.04 (trusty)
","","","","","","None","","","","2005/05/15","2022/03/21","","",""
